,Equity Name,Trade,Entry Time,Entry Price,Exit Time,Exit Price,Quantity,Position Size,PNL,% PNL,Exit Type,Holding Period
0,RELIANCE,Long Closed,2023-06-02 12:05:00+05:30,1609.95,2023-06-02 14:50:00+05:30,1605.25,31.0,49908.448,-145.7,-0.292,Exit Trigger,0 days 02:45:00
1,RELIANCE,Long Closed,2023-06-05 10:00:00+05:30,1613.5,2023-06-05 12:55:00+05:30,1607.75,30.0,48405.0,-172.5,-0.356,Exit Trigger,0 days 02:55:00
2,RELIANCE,Long Closed,2023-06-06 15:20:00+05:30,1602.35,2023-06-07 12:10:00+05:30,1596.75,31.0,49672.849,-173.6,-0.349,Exit Trigger,0 days 20:50:00
3,RELIANCE,Long Closed,2023-06-07 14:05:00+05:30,1603.25,2023-06-08 13:15:00+05:30,1615.3,31.0,49700.75,373.55,0.752,Exit Trigger,0 days 23:10:00
4,RELIANCE,Long Closed,2023-06-09 11:45:00+05:30,1615.5,2023-06-09 15:00:00+05:30,1612.8,30.0,48465.0,-81.0,-0.167,Exit Trigger,0 days 03:15:00
5,RELIANCE,Long Closed,2023-06-13 10:05:00+05:30,1604.9,2023-06-13 13:05:00+05:30,1603.15,31.0,49751.901,-54.25,-0.109,Exit Trigger,0 days 03:00:00
6,RELIANCE,Long Closed,2023-06-14 09:50:00+05:30,1603.35,2023-06-14 14:30:00+05:30,1605.45,31.0,49703.849,65.1,0.131,Exit Trigger,0 days 04:40:00
7,RELIANCE,Long Closed,2023-06-16 10:15:00+05:30,1594.8,2023-06-16 14:10:00+05:30,1597.75,31.0,49438.802,91.45,0.185,Exit Trigger,0 days 03:55:00
8,RELIANCE,Long Closed,2023-06-16 14:15:00+05:30,1599.0,2023-06-19 13:35:00+05:30,1601.9,31.0,49569.0,89.9,0.181,Exit Trigger,2 days 23:20:00
9,RELIANCE,Long Closed,2023-06-20 12:45:00+05:30,1597.75,2023-06-23 09:15:00+05:30,1638.8,31.0,49530.25,1272.55,2.569,Exit Trigger,2 days 20:30:00
10,RELIANCE,Long Closed,2023-06-23 10:55:00+05:30,1654.45,2023-06-23 13:50:00+05:30,1647.7,30.0,49633.499,-202.5,-0.408,Exit Trigger,0 days 02:55:00
11,RELIANCE,Long Closed,2023-06-26 12:30:00+05:30,1641.75,2023-06-26 13:15:00+05:30,1636.75,30.0,49252.5,-150.0,-0.305,Exit Trigger,0 days 00:45:00
